symbol,Name,MarketCap,IPOyear,Sector,Industry,,,,,
CEA,China Eastern Airlines Corporation Ltd.,$7.33B,1997,Transportation,Air Freight/Delivery Services,,,,,
JRJC,China Finance Online Co. Limited,$23.96M,2004,Finance,Investment Bankers/Brokers/Service,,,,,
CHN,"China Fund, Inc. (The)",$310.24M,n/a,n/a,n/a,,,,,
CGA,"China Green Agriculture, Inc.",$17.34M,n/a,Basic Industries,Agricultural Chemicals,,,,,
HGSH,"China HGS Real Estate, Inc.",$32.89M,n/a,Finance,Real Estate,,,,,
CIH,China Index Holdings Limited,$187.3M,n/a,Technology,EDP Services,,,,,
CJJD,"China Jo-Jo Drugstores, Inc.",$41M,n/a,Health Care,Medical/Nursing Services,,,,,
CLEU,China Liberal Education Holdings Limited,$36.04M,2020,Consumer Services,Other Consumer Services,,,,,
LFC,China Life Insurance Company Limited,$63.6B,2003,Finance,Life Insurance,,,,,
CHL,China Mobile (Hong Kong) Ltd.,$122.24B,n/a,Public Utilities,Telecommunications Equipment,,,,,
CHNR,"China Natural Resources, Inc.",$49.8M,n/a,Basic Industries,Precious Metals,,,,,
COE,China Online Education Group,$561.73M,2016,Consumer Services,Other Consumer Services,,,,,
SNP,China Petroleum & Chemical Corporation,$54.58B,n/a,Energy,Integrated oil Companies,,,,,
CPHI,"China Pharma Holdings, Inc.",$18.94M,n/a,Health Care,Major Pharmaceuticals,,,,,
CREG,China Recycling Energy Corporation,$16.22M,n/a,Miscellaneous,Business Services,,,,,
ZNH,China Southern Airlines Company Limited,$9.48B,1997,Transportation,Air Freight/Delivery Services,,,,,
SXTC,"China SXT Pharmaceuticals, Inc.",$18.04M,2019,Health Care,Major Pharmaceuticals,,,,,
CHA,China Telecom Corp Ltd,$24.37B,2002,Public Utilities,Telecommunications Equipment,,,,,
CHU,China Unicom (Hong Kong) Ltd,$18.39B,n/a,Public Utilities,Telecommunications Equipment,,,,,
CXDC,China XD Plastics Company Limited,$83.25M,n/a,Capital Goods,Containers/Packaging,,,,,
PLIN,"China Xiangtai Food Co., Ltd.",$20.31M,2019,Consumer Non-Durables,Meat/Poultry/Fish,,,,,
CYD,China Yuchai International Limited,$688.05M,1994,Energy,Industrial Machinery/Components,,,,,
CD,Chindata Group Holdings Limited,$6.63B,2020,n/a,n/a,,,,,
KDNY,"Chinook Therapeutics, Inc.",$589.37M,2015,Health Care,Major Pharmaceuticals,,,,,
IMOS,ChipMOS TECHNOLOGIES INC.,$801.05M,n/a,Technology,Semiconductors,,,,,
CMG,"Chipotle Mexican Grill, Inc.",$36.08B,2006,Consumer Services,Restaurants,,,,,
CHH,"Choice Hotels International, Inc.",$5.53B,n/a,Consumer Services,Hotels/Resorts,,,,,
COFS,"ChoiceOne Financial Services, Inc.",$230.97M,n/a,Finance,Major Banks,,,,,
CHPM,CHP Merger Corp.,$382.5M,2020,Finance,Business Services,,,,,
CHPMU,CHP Merger Corp.,n/a,2019,Finance,Business Services,,,,,
CHPMW,CHP Merger Corp.,n/a,2020,Finance,Business Services,,,,,
CDXC,ChromaDex Corporation,$306.47M,n/a,Consumer Durables,Specialty Chemicals,,,,,
CHSCL,CHS Inc,n/a,n/a,Consumer Services,Farming/Seeds/Milling,,,,,
CHSCM,CHS Inc,n/a,n/a,Consumer Services,Farming/Seeds/Milling,,,,,
CHSCN,CHS Inc,n/a,n/a,Consumer Services,Farming/Seeds/Milling,,,,,
CHSCO,CHS Inc,n/a,n/a,Consumer Services,Farming/Seeds/Milling,,,,,
CHSCP,CHS Inc,n/a,n/a,Consumer Services,Farming/Seeds/Milling,,,,,
CB,Chubb Limited,$66.73B,n/a,Finance,Property-Casualty Insurers,,,,,
CHT,"Chunghwa Telecom Co., Ltd.",$29.54B,n/a,Public Utilities,Telecommunications Equipment,,,,,
CHD,"Church & Dwight Company, Inc.",$21.81B,n/a,Basic Industries,Package Goods/Cosmetics,,,,,
CCX,Churchill Capital Corp II,$1.27B,2019,Finance,Business Services,,,,,
CCX.U,Churchill Capital Corp II,n/a,2019,n/a,n/a,,,,,
CCX.WS,Churchill Capital Corp II,n/a,n/a,n/a,n/a,,,,,
CCIV,Churchill Capital Corp IV,$2.56B,2020,Finance,Business Services,,,,,
CCIV.U,Churchill Capital Corp IV,n/a,2020,n/a,n/a,,,,,
CCIV.WS,Churchill Capital Corp IV,n/a,n/a,n/a,n/a,,,,,
CHDN,"Churchill Downs, Incorporated",$7.1B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,,,,,
CHUY,"Chuy&#39;s Holdings, Inc.",$466.76M,2012,Consumer Services,Restaurants,,,,,
CIXX,CI Financial Corp.,$2.77B,n/a,Finance,Investment Managers,,,,,
CDTX,"Cidara Therapeutics, Inc.",$102.81M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
CIEN,Ciena Corporation,$6.91B,1997,Public Utilities,Telecommunications Equipment,,,,,
CI,Cigna Corporation,$75.56B,n/a,Health Care,Medical Specialities,,,,,
CIIC,CIIG Merger Corp.,$711.56M,2020,Finance,Business Services,,,,,
CIICU,CIIG Merger Corp.,n/a,2019,Finance,Business Services,,,,,
CIICW,CIIG Merger Corp.,n/a,2020,Finance,Business Services,,,,,
CMCT,CIM Commercial Trust Corporation,$180.45M,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
CMCTP,CIM Commercial Trust Corporation,n/a,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
XEC,Cimarex Energy Co,$3.67B,n/a,Energy,Oil & Gas Production,,,,,
CMPR,Cimpress PLC,$2.33B,n/a,Miscellaneous,Publishing,,,,,
CNNB,"Cincinnati Bancorp, Inc.",$31.99M,2020,Finance,Savings Institutions,,,,,
CBB,Cincinnati Bell Inc,$770.85M,n/a,Public Utilities,Telecommunications Equipment,,,,,
CBB^B,Cincinnati Bell Inc,n/a,n/a,n/a,n/a,,,,,
CINF,Cincinnati Financial Corporation,$12.28B,n/a,Finance,Property-Casualty Insurers,,,,,
CIDM,Cinedigm Corp,$69.85M,n/a,Consumer Services,Consumer Electronics/Video Chains,,,,,
CNK,Cinemark Holdings Inc,$1.83B,2007,Consumer Services,Movies/Entertainment,,,,,
CINR,Ciner Resources LP,$241.95M,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),,,,,
CTAS,Cintas Corporation,$37.17B,1983,Consumer Non-Durables,Apparel,,,,,
CIR,"CIRCOR International, Inc.",$661.34M,n/a,Capital Goods,Metal Fabrications,,,,,
CRUS,"Cirrus Logic, Inc.",$4.64B,1989,Technology,Semiconductors,,,,,
CSCO,"Cisco Systems, Inc.",$181.78B,1990,Technology,Computer Communications Equipment,,,,,
CIT,CIT Group Inc (DEL),$3.3B,n/a,Finance,Major Banks,,,,,
CIT^B,CIT Group Inc (DEL),n/a,n/a,n/a,n/a,,,,,
CTRN,"Citi Trends, Inc.",$360.39M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,,,,,
CCAC,CITIC Capital Acquisition Corp.,$360.53M,2020,Finance,Business Services,,,,,
CCAC.U,CITIC Capital Acquisition Corp.,n/a,2020,n/a,n/a,,,,,
CCAC.WS,CITIC Capital Acquisition Corp.,n/a,n/a,n/a,n/a,,,,,
BLW,Citigroup Inc.,$567.89M,2003,Finance,Major Banks,,,,,
C,Citigroup Inc.,$114.65B,n/a,Finance,Major Banks,,,,,
C^J,Citigroup Inc.,n/a,n/a,n/a,n/a,,,,,
C^K,Citigroup Inc.,n/a,n/a,Finance,Major Banks,,,,,
C^N,Citigroup Inc.,n/a,n/a,Finance,Major Banks,,,,,
C^S,Citigroup Inc.,n/a,n/a,n/a,n/a,,,,,
CTXR,"Citius Pharmaceuticals, Inc.",$57.14M,n/a,Health Care,Major Pharmaceuticals,,,,,
CTXRW,"Citius Pharmaceuticals, Inc.",n/a,n/a,Health Care,Major Pharmaceuticals,,,,,
CZNC,Citizens & Northern Corp,$288.41M,n/a,Finance,Major Banks,,,,,
CZWI,"Citizens Community Bancorp, Inc.",$100.39M,n/a,Finance,Savings Institutions,,,,,
CFG,"Citizens Financial Group, Inc.",$13.95B,2014,Finance,Major Banks,,,,,
CFG^D,"Citizens Financial Group, Inc.",n/a,n/a,n/a,n/a,,,,,
CFG^E,"Citizens Financial Group, Inc.",n/a,n/a,n/a,n/a,,,,,
CIZN,Citizens Holding Company,$114.48M,n/a,Finance,Major Banks,,,,,
CIA,"Citizens, Inc.",$320.3M,n/a,Finance,Life Insurance,,,,,
CTXS,"Citrix Systems, Inc.",$15.26B,1995,Technology,Computer Software: Prepackaged Software,,,,,
CHCO,City Holding Company,$1.04B,n/a,Finance,Major Banks,,,,,
CIO,"City Office REIT, Inc.",$380.59M,2014,Consumer Services,Real Estate Investment Trusts,,,,,
CIO^A,"City Office REIT, Inc.",n/a,n/a,n/a,n/a,,,,,
CVEO,Civeo Corporation,$226.73M,2014,Consumer Services,Hotels/Resorts,,,,,
CIVB,"Civista Bancshares, Inc. ",$267.84M,n/a,Finance,Major Banks,,,,,
CKX,"CKX Lands, Inc.",$17.97M,n/a,Energy,Oil & Gas Production,,,,,
CCC,Clarivate Plc,$16.63B,2019,Technology,EDP Services,,,,,
CLAR,Clarus Corporation,$447.31M,n/a,Consumer Non-Durables,Recreational Products/Toys,,,,,
CLNE,Clean Energy Fuels Corp.,$902.13M,2007,Public Utilities,Natural Gas Distribution,,,,,
CLH,"Clean Harbors, Inc.",$4B,n/a,Basic Industries,Environmental Services,,,,,
CLSK,"CleanSpark, Inc.",$189.16M,n/a,Technology,EDP Services,,,,,
CCO,"Clear Channel Outdoor Holdings, Inc.",$705.59M,2005,Consumer Services,Advertising,,,,,
CACG,ClearBridge All Cap Growth ETF,n/a,n/a,n/a,n/a,,,,,
YLDE,ClearBridge Dividend Strategy ESG ETF,n/a,n/a,n/a,n/a,,,,,
EMO,ClearBridge Energy Midstream Opportunity Fund Inc.,$182.15M,2011,n/a,n/a,,,,,
LRGE,ClearBridge Large Cap Growth ESG ETF,n/a,n/a,n/a,n/a,,,,,
CEM,ClearBridge MLP and Midstream Fund Inc.,$229.69M,2010,n/a,n/a,,,,,
CTR,ClearBridge MLP and Midstream Total Return Fund In,$109.75M,2012,n/a,n/a,,,,,
CLFD,"Clearfield, Inc.",$324.6M,n/a,Public Utilities,Telecommunications Equipment,,,,,
CLRO,"ClearOne, Inc.",$47.87M,n/a,Public Utilities,Telecommunications Equipment,,,,,
CLPT,ClearPoint Neuro Inc.,$168.33M,n/a,Health Care,Medical/Dental Instruments,,,,,
CLSD,"Clearside Biomedical, Inc.",$97.19M,2016,Health Care,Major Pharmaceuticals,,,,,
CLIR,ClearSign Technologies Corporation,$76.91M,2012,Capital Goods,Industrial Machinery/Components,,,,,
CLW,Clearwater Paper Corporation,$578.57M,n/a,Basic Industries,Paper,,,,,
CWEN,"Clearway Energy, Inc.",$5.9B,2015,Public Utilities,Electric Utilities: Central,,,,,
CWEN.A,"Clearway Energy, Inc.",n/a,n/a,n/a,n/a,,,,,
CBLI,"Cleveland BioLabs, Inc.",$40.87M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,,,,,
CLF,Cleveland-Cliffs Inc.,$4.4B,n/a,Basic Industries,Precious Metals,,,,,
CLII,Climate Change Crisis Real Impact I Acquisition Corporation,$285.92M,2020,Finance,Business Services,,,,,
CLII.U,Climate Change Crisis Real Impact I Acquisition Corporation,n/a,2020,n/a,n/a,,,,,
CLII.WS,Climate Change Crisis Real Impact I Acquisition Corporation,n/a,n/a,n/a,n/a,,,,,
CLPR,Clipper Realty Inc.,$101.98M,2017,Consumer Services,Real Estate Investment Trusts,,,,,
CLX,Clorox Company (The),$25.58B,n/a,Consumer Durables,Specialty Chemicals,,,,,
CLDR,"Cloudera, Inc.",$3.65B,2017,Technology,Computer Software: Prepackaged Software,,,,,
NET,"Cloudflare, Inc.",$23.07B,2019,Technology,Computer Software: Prepackaged Software,,,,,
GLV,Clough Global Dividend and Income Fund,$81.89M,2004,n/a,n/a,,,,,
GLQ,Clough Global Equity Fund,$167.5M,2005,n/a,n/a,,,,,
GLO,Clough Global Opportunities Fund,$334.17M,2006,n/a,n/a,,,,,
CLVS,"Clovis Oncology, Inc.",$508.88M,2011,Health Care,Major Pharmaceuticals,,,,,
CLPS,CLPS Incorporation,$52.79M,2018,Technology,Computer Software: Prepackaged Software,,,,,
CMLF,"CM Life Sciences, Inc.",$567M,2020,Finance,Business Services,,,,,
CMLFU,"CM Life Sciences, Inc.",n/a,2020,Finance,Business Services,,,,,
CMLFW,"CM Life Sciences, Inc.",n/a,2020,Finance,Business Services,,,,,
CCMP,"CMC Materials, Inc.",$4.49B,2000,Technology,Semiconductors,,,,,
CME,CME Group Inc.,$62.83B,2002,Finance,Investment Bankers/Brokers/Service,,,,,
CMS,CMS Energy Corporation,$17.62B,n/a,Public Utilities,Power Generation,,,,,
CMS^B,CMS Energy Corporation,n/a,n/a,Public Utilities,Power Generation,,,,,
CMSA,CMS Energy Corporation,n/a,2018,Public Utilities,Power Generation,,,,,
CMSC,CMS Energy Corporation,n/a,2018,Public Utilities,Power Generation,,,,,
CMSD,CMS Energy Corporation,n/a,2019,Public Utilities,Power Generation,,,,,
CNA,CNA Financial Corporation,$9.37B,n/a,Finance,Property-Casualty Insurers,,,,,
CCNE,CNB Financial Corporation,$331.27M,n/a,Finance,Major Banks,,,,,
CCNEP,CNB Financial Corporation,n/a,n/a,Finance,Major Banks,,,,,
CNF,CNFinance Holdings Limited,$240.04M,2018,Finance,Finance: Consumer Services,,,,,
CNHI,CNH Industrial N.V.,$14.7B,2013,Capital Goods,Construction/Ag Equipment/Trucks,,,,,
CNO,"CNO Financial Group, Inc.",$2.96B,n/a,Finance,Accident &Health Insurance,,,,,
CEO,CNOOC Limited,$44.08B,2001,Energy,Oil & Gas Production,,,,,
CNSP,"CNS Pharmaceuticals, Inc.",$37.3M,2019,Health Care,Major Pharmaceuticals,,,,,
CNX,CNX Resources Corporation,$2.11B,1999,Energy,Oil & Gas Production,,,,,
CCB,Coastal Financial Corporation,$235.67M,2018,Finance,Major Banks,,,,,
KOF,Coca Cola Femsa S.A.B. de C.V.,$9.52B,1993,Consumer Non-Durables,Beverages (Production/Distribution),,,,,
KO,Coca-Cola Company (The),$221.75B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),,,,,
COKE,"Coca-Cola Consolidated, Inc.",$2.45B,1972,Consumer Non-Durables,Beverages (Production/Distribution),,,,,
CCEP,Coca-Cola European Partners plc,$20.31B,2016,Consumer Non-Durables,Beverages (Production/Distribution),,,,,
COCP,"Cocrystal Pharma, Inc.",$148.1M,n/a,Health Care,Major Pharmaceuticals,,,,,
CODA,"Coda Octopus Group, Inc.",$60.1M,n/a,Capital Goods,Industrial Machinery/Components,,,,,
CCNC,Code Chain New Continent Limited,$49.31M,2015,Consumer Durables,Steel/Iron Ore,,,,,
CDXS,"Codexis, Inc.",$1.1B,2010,Basic Industries,Major Chemicals,,,,,
CODX,"Co-Diagnostics, Inc.",$331.32M,2017,Health Care,Medical/Dental Instruments,,,,,
CDAK,"Codiak BioSciences, Inc.",$244.17M,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
CVLY,"Codorus Valley Bancorp, Inc",$164.46M,n/a,Finance,Savings Institutions,,,,,
CDE,"Coeur Mining, Inc.",$1.73B,n/a,Basic Industries,Precious Metals,,,,,
JVA,"Coffee Holding Co., Inc.",$22.49M,2005,Consumer Non-Durables,Food Distributors,,,,,
COGT,"Cogent Biosciences, Inc.",$111.27M,2018,Health Care,Major Pharmaceuticals,,,,,
CCOI,"Cogent Communications Holdings, Inc.",$2.75B,n/a,Consumer Services,Telecommunications Equipment,,,,,
CGNX,Cognex Corporation,$13.12B,1989,Capital Goods,Industrial Machinery/Components,,,,,
CTSH,Cognizant Technology Solutions Corporation,$41.77B,1998,Technology,EDP Services,,,,,
CWBR,"CohBar, Inc.",$78.25M,n/a,Health Care,Major Pharmaceuticals,,,,,
COHN,Cohen & Company Inc.,$23.09M,n/a,Finance,Investment Bankers/Brokers/Service,,,,,
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",$312.85M,2006,n/a,n/a,,,,,
CNS,Cohen & Steers Inc,$3.38B,2004,Finance,Investment Managers,,,,,
UTF,"Cohen & Steers Infrastructure Fund, Inc",$2.42B,2004,n/a,n/a,,,,,
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc",$727.96M,2012,n/a,n/a,,,,,
MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",$59.73M,2013,n/a,n/a,,,,,
RQI,Cohen & Steers Quality Income Realty Fund Inc.,$1.64B,2002,n/a,n/a,,,,,
RNP,"Cohen & Steers REIT and Preferred and Income Fund,",$1.07B,2003,n/a,n/a,,,,,
PSF,"Cohen & Steers Select Preferred and Income Fund, Inc.",$317.01M,2010,n/a,n/a,,,,,
PTA,Cohen & Steers Tax-Advantaged Preferred Securities,n/a,2020,n/a,n/a,,,,,
RFI,"Cohen & Steers Total Return Realty Fund, Inc.",$340.04M,1993,n/a,n/a,,,,,
COHR,"Coherent, Inc.",$2.95B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,
CHRS,"Coherus BioSciences, Inc.",$1.33B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
CRHC,Cohn Robbins Holdings Corp.,$1.03B,2020,Finance,Business Services,,,,,
CRHC.U,Cohn Robbins Holdings Corp.,n/a,2020,n/a,n/a,,,,,
CRHC.WS,Cohn Robbins Holdings Corp.,n/a,n/a,n/a,n/a,,,,,
COHU,"Cohu, Inc.",$1.19B,n/a,Capital Goods,Electrical Products,,,,,
CFX,Colfax Corporation,$4.27B,2008,Capital Goods,Fluid Controls,,,,,
CFXA,Colfax Corporation,n/a,2019,Capital Goods,Fluid Controls,,,,,
CL,Colgate-Palmolive Company,$73.41B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,,,,,
CGRO,Collective Growth Corporation,$188.79M,2020,Finance,Business Services,,,,,
CGROU,Collective Growth Corporation,n/a,2020,Finance,Business Services,,,,,
CGROW,Collective Growth Corporation,n/a,2020,Finance,Business Services,,,,,
CLCT,"Collectors Universe, Inc.",$717.42M,1999,Miscellaneous,Business Services,,,,,
COLL,"Collegium Pharmaceutical, Inc.",$639.43M,2015,Health Care,Major Pharmaceuticals,,,,,
CIGI,Colliers International Group Inc. ,$3.57B,n/a,Finance,Real Estate,,,,,
CLGN,CollPlant Biotechnologies Ltd.,$52.08M,n/a,n/a,n/a,,,,,
CXE,Colonial High Income Municipal Trust,$153.83M,1989,n/a,n/a,,,,,
CIF,Colonial Intermediate High Income Fund,$47.57M,n/a,n/a,n/a,,,,,
CXH,Colonial Investment Grade Municipal Trust,$87.46M,1989,n/a,n/a,,,,,
CMU,Colonial Municipal Income Trust,$122.37M,1987,n/a,n/a,,,,,
CLA,Colonnade Acquisition Corp.,$246.25M,2020,Finance,Business Services,,,,,
CLA.U,Colonnade Acquisition Corp.,n/a,2020,n/a,n/a,,,,,
CLA.WS,Colonnade Acquisition Corp.,n/a,n/a,n/a,n/a,,,,,
CBAN,"Colony Bankcorp, Inc.",$135.45M,n/a,Finance,Major Banks,,,,,
CLNY,"Colony Capital, Inc.",$2.08B,2014,Consumer Services,Real Estate Investment Trusts,,,,,
CLNY^G,"Colony Capital, Inc.",n/a,n/a,n/a,n/a,,,,,
CLNY^H,"Colony Capital, Inc.",n/a,n/a,n/a,n/a,,,,,
CLNY^I,"Colony Capital, Inc.",n/a,n/a,n/a,n/a,,,,,
CLNY^J,"Colony Capital, Inc.",n/a,n/a,n/a,n/a,,,,,
CLNC,"Colony Credit Real Estate, Inc.",$933.51M,2018,Consumer Services,Real Estate Investment Trusts,,,,,
CSCW,Color Star Technology Co. Ltd.,$31.27M,n/a,Basic Industries,Engineering & Construction,,,,,
COLB,"Columbia Banking System, Inc.",$2.26B,1992,Finance,Major Banks,,,,,
CLBK,"Columbia Financial, Inc.",$1.62B,2018,Finance,Savings Institutions,,,,,
CXP,"Columbia Property Trust, Inc.",$1.6B,2013,Consumer Services,Real Estate Investment Trusts,,,,,
STK,"Columbia Seligman Premium Technology Growth Fund, Inc",$406.04M,2009,n/a,n/a,,,,,
COLM,Columbia Sportswear Company,$5.42B,1998,Consumer Non-Durables,Apparel,,,,,
CMCO,Columbus McKinnon Corporation,$903.14M,1996,Capital Goods,Construction/Ag Equipment/Trucks,,,,,
CCZ,Comcast Corporation,n/a,n/a,Consumer Services,Television Services,,,,,
CMCSA,Comcast Corporation,$229.86B,n/a,Consumer Services,Television Services,,,,,
CMA,Comerica Incorporated,$6.84B,n/a,Finance,Major Banks,,,,,
FIX,"Comfort Systems USA, Inc.",$1.83B,1997,Capital Goods,Engineering & Construction,,,,,
CBSH,"Commerce Bancshares, Inc.",$7.73B,n/a,Finance,Major Banks,,,,,
CMC,Commercial Metals Company,$2.39B,n/a,Basic Industries,Steel/Iron Ore,,,,,
CVGI,"Commercial Vehicle Group, Inc.",$219.24M,2004,Capital Goods,Auto Parts:O.E.M.,,,,,
COMM,"CommScope Holding Company, Inc.",$2.35B,2013,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,
JCS,"Communications Systems, Inc.",$40.26M,n/a,Public Utilities,Telecommunications Equipment,,,,,
CBU,"Community Bank System, Inc.",$3.33B,n/a,Finance,Major Banks,,,,,
ESXB,Community Bankers Trust Corporation.,$145.09M,n/a,Finance,Major Banks,,,,,
CFBI,"Community First Bancshares, Inc.",$75.3M,2017,Finance,Savings Institutions,,,,,
CYH,"Community Health Systems, Inc.",$978.5M,2000,Health Care,Hospital/Nursing Management,,,,,
CHCT,Community Healthcare Trust Incorporated,$1.06B,2015,Consumer Services,Real Estate Investment Trusts,,,,,
CTBI,"Community Trust Bancorp, Inc.",$602.88M,n/a,Finance,Major Banks,,,,,
CWBC,Community West Bancshares,$72.44M,n/a,Finance,Major Banks,,,,,
CVLT,"Commvault Systems, Inc.",$2.25B,2006,Technology,Computer Software: Prepackaged Software,,,,,
CIG,Comp En De Mn Cemig ADS,$9.69B,n/a,Public Utilities,Electric Utilities: Central,,,,,
CIG.C,Comp En De Mn Cemig ADS,n/a,n/a,n/a,n/a,,,,,
CBD,Companhia Brasileira de Distribuicao,$3.41B,2020,Consumer Services,Food Chains,,,,,
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,$5.67B,2002,Public Utilities,Water Supply,,,,,
ELP,Companhia Paranaense de Energia (COPEL),$3.5B,n/a,Public Utilities,Electric Utilities: Central,,,,,
CCU,"Compania Cervecerias Unidas, S.A.",$2.64B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),,,,,
CODI,Compass Diversified ,$1.27B,2006,Consumer Durables,Home Furnishings,,,,,
CODI^A,Compass Diversified ,n/a,n/a,n/a,n/a,,,,,
CODI^B,Compass Diversified ,n/a,n/a,n/a,n/a,,,,,
CODI^C,Compass Diversified ,n/a,n/a,n/a,n/a,,,,,
CMP,"Compass Minerals International, Inc.",$2.12B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),,,,,
CMPS,COMPASS Pathways Plc,$1.79B,2020,Health Care,Major Pharmaceuticals,,,,,
CMPX,"Compass Therapeutics, Inc.",n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
CGEN,Compugen Ltd.,$1.06B,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
CPSI,"Computer Programs and Systems, Inc.",$412.58M,2002,Technology,EDP Services,,,,,
CTG,"Computer Task Group, Incorporated",$104.65M,n/a,Technology,EDP Services,,,,,
CIX,CompX International Inc.,$180.54M,1998,Capital Goods,Industrial Machinery/Components,,,,,
SCOR,"comScore, Inc.",$185.61M,2018,Miscellaneous,Business Services,,,,,
CHCI,"Comstock Holding Companies, Inc.",$24.66M,2004,Finance,Real Estate,,,,,
LODE,"Comstock Mining, Inc.",$35.47M,n/a,Basic Industries,Precious Metals,,,,,
CRK,"Comstock Resources, Inc.",$1.13B,n/a,Energy,Oil & Gas Production,,,,,
CMTL,Comtech Telecommunications Corp.,$476.7M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,
CAG,"ConAgra Brands, Inc.",$17.86B,n/a,Consumer Non-Durables,Packaged Foods,,,,,
CNCE,"Concert Pharmaceuticals, Inc.",$349.4M,2014,Health Care,Major Pharmaceuticals,,,,,
CXO,Concho Resources Inc.,$11.28B,2007,Energy,Oil & Gas Production,,,,,
CCM,Concord Medical Services Holdings Limited,$82.49M,2009,Health Care,Medical/Nursing Services,,,,,
BBCP,"Concrete Pumping Holdings, Inc. ",$220.21M,2017,Basic Industries,Engineering & Construction,,,,,
CDOR,"Condor Hospitality Trust, Inc.",$37.85M,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
CDOR,"Condor Hospitality Trust, Inc.",$37.85M,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
CNDT,Conduent Incorporated,$883.19M,n/a,Miscellaneous,Business Services,,,,,
CFMS,"ConforMIS, Inc.",$55.05M,2015,Health Care,Industrial Specialties,,,,,
CNFR,"Conifer Holdings, Inc.",$23.13M,2015,Finance,Property-Casualty Insurers,,,,,
CNFRL,"Conifer Holdings, Inc.",n/a,n/a,Finance,Property-Casualty Insurers,,,,,
CNMD,CONMED Corporation,$2.91B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,
CNMD,CONMED Corporation,$2.91B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,
CNOB,"ConnectOne Bancorp, Inc.",$705.02M,n/a,Finance,Major Banks,,,,,
CONN,"Conn&#39;s, Inc.",$322.96M,2003,Consumer Services,Consumer Electronics/Video Chains,,,,,
COP,ConocoPhillips,$42.25B,n/a,Energy,Integrated oil Companies,,,,,
CCR,CONSOL Coal Resources LP,$107.72M,2015,Energy,Coal Mining,,,,,
CEIX,CONSOL Energy Inc.,$137.73M,2017,Energy,Coal Mining,,,,,
CNSL,"Consolidated Communications Holdings, Inc.",$444.7M,2005,Public Utilities,Telecommunications Equipment,,,,,
ED,Consolidated Edison Inc,$25.53B,n/a,Public Utilities,Power Generation,,,,,
CWCO,Consolidated Water Co. Ltd.,$165.75M,n/a,Public Utilities,Water Supply,,,,,
CHFW.U,Consonance-HFW Acquisition Corp.,n/a,2020,n/a,n/a,,,,,
STZ,Constellation Brands Inc,$39.89B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),,,,,
STZ.B,Constellation Brands Inc,n/a,n/a,n/a,n/a,,,,,
CNST,"Constellation Pharmaceuticals, Inc.",$1.21B,2018,Health Care,Major Pharmaceuticals,,,,,
CSTM,Constellium SE,$1.77B,2013,Basic Industries,Metal Fabrications,,,,,
ROAD,"Construction Partners, Inc.",$1.36B,2018,Basic Industries,Military/Government/Technical,,,,,
CPSS,"Consumer Portfolio Services, Inc.",$90.03M,1992,Finance,Finance: Consumer Services,,,,,
TCS,Container Store (The),$470.16M,2013,Consumer Services,Home Furnishings,,,,,
MCF,Contango Oil & Gas Company,$266.35M,n/a,Energy,Oil & Gas Production,,,,,
CLR,"Continental Resources, Inc.",$5.62B,2007,Energy,Oil & Gas Production,,,,,
CFRX,ContraFect Corporation,$175.76M,2014,Health Care,Major Pharmaceuticals,,,,,
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",$1.04B,2013,Transportation,Air Freight/Delivery Services,,,,,
CTRA,"Contura Energy, Inc.",$135.49M,2018,Energy,Coal Mining,,,,,
CPTI,"ConversionPoint Holdings, Inc.",n/a,n/a,n/a,n/a,,,,,
CONXU,CONX Corp.,n/a,2020,Finance,Business Services,,,,,
